Course,Course Title,Units,Sec,Mini,Days,Begin,End,Teaching Location,BDLG/Room,Instructor
94050,Study Abroad,1-60,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
94700,Organizational Design & Implementation,6,K3,Y,TR,04:30PM,05:50PM,"Adelaide, Australia",TOR CLASS3,"O'Loughlin, Timothy"
94706,Healthcare Information Systems,12,A,,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1005,"Padman, Rema"
,,,,,F,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1005,"Padman, Rema"
94718,Strategic Presentation Skills,6,K3,Y,M,04:30PM,07:20PM,"Adelaide, Australia",TOR CLASS3,"Bodycoat, Marilyn"
94728,Business Intelligence & Analytics,6,K4,Y,F,09:00AM,11:50AM,"Adelaide, Australia",TOR CLASS1,"Viswanathan, Murlikrishna"
94739,Capstone Project,VAR,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
,,,B,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
,,,C,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
,,,D,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
94774,Business Process Modeling,6,A4,Y,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 2008,"Moore, Karyn"
,,,Z3,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Moore, Karyn"
94775,Unstructured Data Analytics for Policy,6,A3,Y,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1206,"Chen, George"
,,,,Y,F,04:30PM,05:50PM,"Pittsburgh, Pennsylvania",HBH 1206,"Chen, George"
94800,Negotiation,6,A3,Y,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1006,"Simmer, Jared"
,,,B4,Y,M,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1006,"Simmer, Jared"
94801,Acting for Management,6,A3,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 2003,"Murphy, Sandra"
,,,B4,Y,MW,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 2003,"Murphy, Sandra"
,,,C3,Y,MW,04:30PM,05:50PM,"Pittsburgh, Pennsylvania",HBH 2003,"Murphy, Sandra"
,,,D4,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 2003,"Murphy, Sandra"
94802,Geographic Information Systems,12,A,,MW,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",HBH 2009,"Goranson, Christopher"
94803,Consulting Lab,6,A4,Y,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 2003,"Labash, Stefan"
94806,Privacy in the Digital Age,6,Z3,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Connell, Anne"
94808,Management Consulting,12,A,,M,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 2008,"Brussalis, Chris"
94811,Strategy Development,6,A4,Y,W,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 2008,"Zak, Timothy"
94813,Project Management,6,A3,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 2008,"Synnott, Laura"
,,,B3,Y,MW,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 2008,"Synnott, Laura"
94820,Consumer Analytics in Health Care,3,A4,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
94823,Measuring Social,12,A,,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1002,"Lightman, Ari"
94827,SAS for Public Policy,6,A3,Y,TR,04:30PM,05:50PM,"Pittsburgh, Pennsylvania",HBH 2009,"Hunter, Gerald"
94829,Advanced Manufacturing (Making Things in the Future),3,A4,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Zak, Timothy"
94832,Business Intelligence & Data Mining SAS,6,A4,Y,MW,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",HBH 1206,"Li, Beibei"
,,,B4,Y,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1206,"Li, Beibei"
94833,Decision Analysis and Multicriteria Decision Making,6,A3,Y,TR,04:30PM,05:50PM,"Pittsburgh, Pennsylvania",HBH 1204,"Caulkins, Jonathan"
,,,,Y,F,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1204,"Caulkins, Jonathan"
94834,Applied Econometrics I,6,A3,Y,MW,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1206,"Jha, Akshaya"
,,,,Y,F,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH A301,"Jha, Akshaya"
,,,B3,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1206,"Jha, Akshaya"
,,,,Y,F,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH A301,"Jha, Akshaya"
94835,Applied Econometrics II,6,A4,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1204,"Jha, Akshaya"
,,,,Y,F,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH A301,"Jha, Akshaya"
,,,B4,Y,MW,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1204,"Jha, Akshaya"
,,,,Y,F,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH A301,"Jha, Akshaya"
94840,Datapreneurship - Innovating on Analytics,6,A3,Y,M,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1005,TBA
94842,Programming R for Analytics,6,A3,Y,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH A301,"Simko, Michael"
94843,Research Seminar in Arts Management and Technology,6,A,,R,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1208,"Crawford, Brett"
94848,Transforming Cities: Smart Cities and Technology,3,A4,Y,F,05:00PM,08:20PM,"Pittsburgh, Pennsylvania",TBA,"Mozisek, Korryn"
,,,,Y,S,08:30AM,06:20PM,"Pittsburgh, Pennsylvania",TBA,"Mozisek, Korryn"
,,,,Y,U,08:30AM,01:50PM,"Pittsburgh, Pennsylvania",TBA,"Mozisek, Korryn"
94854,Developing as a Leader,6,A4,Y,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 2003,"Lassman, David"
94855,Innovation Management in Practice,6,A,,M,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",BH  136A,"Williams, Jimmy"
94856,Managerial and Engineering Economics,12,A,,MW,04:30PM,05:50PM,"Pittsburgh, Pennsylvania",SH  125,"O'Connor, Jason"
94857,The Strategy and Management of Technological Innovation,12,A,,TR,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",BH  136A,"Armanios, Daniel"
94859,International Crisis Negotiation Exercise,3,A4,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Borzutzky, Silvia
Lassman, David"
94866,Design Thinking,6,A4,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1004,"Zak, Timothy"
,,,B4,Y,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1202,"Zak, Timothy"
94867,Decision Analytics for Business and Policy,12,A,,MWF,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1202,"Zhang, Peter"
,,,B,,MWF,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1202,"Zhang, Peter"
94870,Telling Stories with Data,6,A3,Y,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1202,"Goranson, Christopher"
94876,Computational Forensics and AI,12,A,,MW,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",WEH 5409,"Singh, Rita"
94881,Managing Analytic Projects,6,A3,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1004,"Steier, David"
,,,Z4,Y,TR,07:00PM,08:20PM,"Pittsburgh, Pennsylvania",DNM,"Steier, David"
94883,Applied Ethical Analysis,6,A3,Y,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1004,"Apple, Rebekah"
94886,Advances in Robotic Process Automation,6,A4,Y,R,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1004,"Honig, Larry
Morrow, Jennifer"
94887,Applied Analytics:  ML Pipeline,12,A,,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1007,"Weiss, Jeremy"
94889,Machine Learning for Public Policy Lab,12,A,,TR,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",GHC 4307,"Ghani, Rayid
Rodolfa, Kit"
94890,"Race, Politics and Policies in the US",6,A4,Y,M,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1007,"Borzutzky, Silvia"
94899,Apprenticeship,0-24,C,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Jordan, James"
,,,D,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
